PLAYER,TEAM,GAME,POS,H_PROJECTION,OPTIMAL_ALT_LINE,EDGE,EDGE_PERCENTAGE,CONFIDENCE,RECOMMENDATION
Pete Crow-Armstrong,CHC,CHC@PHI,LF,0.99,0.5,0.49,98.0,Avoid,Skip
Brendan Donovan,STL,TOR@STL,3B,0.98,0.5,0.48,96.0,Avoid,Skip
Steven Kwan,CLE,CIN@CLE,LF,0.98,0.5,0.48,96.0,Avoid,Skip
Kyle Tucker,CHC,CHC@PHI,LF,0.96,0.5,0.46,92.0,Avoid,Skip
Rafael Devers,BOS,TB@BOS,3B,0.96,0.5,0.46,92.0,Avoid,Skip
George Springer,TOR,TOR@STL,CF,0.96,0.5,0.46,92.0,Avoid,Skip
Corbin Carroll,ARI,SEA@ARI,LF,0.96,0.5,0.46,92.0,Avoid,Skip
Alec Bohm,PHI,CHC@PHI,1B,0.95,0.5,0.45,90.0,Avoid,Skip
Marcell Ozuna,ATL,ATL@MIL,OF,0.95,0.5,0.45,90.0,Avoid,Skip
Masyn Winn,STL,TOR@STL,2B,0.94,0.5,0.44,88.0,Avoid,Skip
Dansby Swanson,CHC,CHC@PHI,SS,0.94,0.5,0.44,88.0,Avoid,Skip
Nick Castellanos,PHI,CHC@PHI,RF,0.93,0.5,0.43,86.0,Avoid,Skip
Michael Harris,ATL,ATL@MIL,LF,0.93,0.5,0.43,86.0,Avoid,Skip
J.P. Crawford,SEA,SEA@ARI,SS,0.93,0.5,0.43,86.0,Avoid,Skip
Alec Burleson,STL,TOR@STL,1B,0.92,0.5,0.42,84.0,Avoid,Skip
Andres Gimenez,TOR,TOR@STL,2B,0.92,0.5,0.42,84.0,Avoid,Skip
Kyle Schwarber,PHI,CHC@PHI,OF,0.92,0.5,0.42,84.0,Avoid,Skip
Connor Norby,MIA,MIA@PIT,2B,0.91,0.5,0.41,82.0,Avoid,Skip
Tyler Soderstrom,ATH,ATH@LAA,1B,0.9,0.5,0.4,80.0,Avoid,Skip
Xander Bogaerts,SD,LAD@SD,SS,0.89,0.5,0.39,78.0,Avoid,Skip
Michael Busch,CHC,CHC@PHI,1B,0.89,0.5,0.39,78.0,Avoid,Skip
Seiya Suzuki,CHC,CHC@PHI,LF,0.88,0.5,0.38,76.0,Avoid,Skip
Teoscar Hernandez,LAD,LAD@SD,LF,0.88,0.5,0.38,76.0,Avoid,Skip
Cal Raleigh,SEA,SEA@ARI,C,0.88,0.5,0.38,76.0,Avoid,Skip
Brice Turang,MIL,ATL@MIL,2B,0.88,0.5,0.38,76.0,Avoid,Skip
Nolan Arenado,STL,TOR@STL,3B,0.88,0.5,0.38,76.0,Avoid,Skip
Lawrence Butler,ATH,ATH@LAA,LF,0.88,0.5,0.38,76.0,Avoid,Skip
Ian Happ,CHC,CHC@PHI,2B,0.88,0.5,0.38,76.0,Avoid,Skip
Wilyer Abreu,BOS,TB@BOS,LF,0.88,0.5,0.38,76.0,Avoid,Skip
Mike Trout,LAA,ATH@LAA,CF,0.87,0.5,0.37,74.0,Avoid,Skip
Tommy Edman,LAD,LAD@SD,SS,0.87,0.5,0.37,74.0,Avoid,Skip
Thomas Pham,PIT,MIA@PIT,CF,0.86,0.5,0.36,72.0,Avoid,Skip
Spencer Steer,CIN,CIN@CLE,OF,0.85,0.5,0.35,70.0,Avoid,Skip
Lourdes Gurriel,ARI,SEA@ARI,OF,0.85,0.5,0.35,70.0,Avoid,Skip
Will Smith,LAD,LAD@SD,C,0.85,0.5,0.35,70.0,Avoid,Skip
JJ Bleday,ATH,ATH@LAA,LF,0.85,0.5,0.35,70.0,Avoid,Skip
Ozzie Albies,ATL,ATL@MIL,2B,0.85,0.5,0.35,70.0,Avoid,Skip
