PLAYER,TEAM,GAME,POS,H_PROJECTION,R_PROJECTION,RBI_PROJECTION,HRR_PROJECTION,OPTIMAL_LINE,OVER_PROBABILITY,EDGE,EDGE_PERCENTAGE,CONFIDENCE,RECOMMENDATION
Francisco Lindor,NYM,NYM@COL,SS,1.32,0.92,0.82,3.06,2.0,0.59,0.1271,12.71,MEDIUM,MODERATE BET
Pete Alonso,NYM,NYM@COL,1B,1.19,0.77,1.02,2.98,2.0,0.572,0.0931,9.31,MEDIUM,MODERATE BET
Juan Soto,NYM,NYM@COL,LF,1.18,0.92,0.78,2.88,2.0,0.549,0.0493,4.93,LOW,SMALL BET
Ketel Marte,ARI,ARI@CIN,2B,1.13,0.85,0.75,2.73,2.0,0.514,-0.0188,-1.88,AVOID,PASS
Cody Bellinger,NYY,BOS@NYY,1B,1.21,0.66,0.82,2.69,2.0,0.504,-0.0375,-3.75,AVOID,PASS
Corbin Carroll,ARI,ARI@CIN,LF,1.07,0.87,0.65,2.59,2.0,0.479,-0.085,-8.5,AVOID,PASS
Elly De La Cruz,CIN,ARI@CIN,3B,1.1,0.77,0.67,2.54,2.0,0.466,-0.1092,-10.92,AVOID,PASS
Cal Raleigh,SEA,SEA@LAA,C,0.92,0.71,0.81,2.44,2.0,0.441,-0.1583,-15.83,AVOID,PASS
Gunnar Henderson,BAL,BAL@ATH,SS,1.16,0.75,0.52,2.43,2.0,0.438,-0.1632,-16.32,AVOID,PASS
Josh Naylor,ARI,ARI@CIN,1B,1.14,0.53,0.75,2.42,2.0,0.436,-0.1682,-16.82,AVOID,PASS
Julio Rodriguez,SEA,SEA@LAA,RF,1.14,0.68,0.59,2.41,2.0,0.433,-0.1732,-17.32,AVOID,PASS
Jose Ramirez,CLE,HOU@CLE,3B,1.04,0.7,0.65,2.39,2.0,0.428,-0.1831,-18.31,AVOID,PASS
Brandon Nimmo,NYM,NYM@COL,RF,0.96,0.69,0.67,2.32,2.0,0.409,-0.2183,-21.83,AVOID,PASS
Jacob Wilson,ATH,BAL@ATH,SS,1.2,0.54,0.54,2.28,2.0,0.399,-0.2386,-23.86,AVOID,PASS
Jarren Duran,BOS,BOS@NYY,CF,1.11,0.58,0.56,2.25,2.0,0.391,-0.2538,-25.38,AVOID,PASS
Brent Rooker,ATH,BAL@ATH,OF,1.03,0.57,0.63,2.23,2.0,0.385,-0.264,-26.4,AVOID,PASS
Rafael Devers,BOS,BOS@NYY,3B,0.96,0.62,0.64,2.22,2.0,0.383,-0.2691,-26.91,AVOID,PASS
Zach Neto,LAA,SEA@LAA,SS,1.0,0.62,0.55,2.17,2.0,0.369,-0.2948,-29.48,AVOID,PASS
Lawrence Butler,ATH,BAL@ATH,LF,1.01,0.64,0.51,2.16,2.0,0.367,-0.2999,-29.99,AVOID,PASS
Yandy Diaz,TB,MIA@TB,1B,1.03,0.5,0.61,2.14,2.0,0.361,-0.3102,-31.02,AVOID,PASS
Eugenio Suarez,ARI,ARI@CIN,SS,0.93,0.51,0.68,2.12,2.0,0.356,-0.3205,-32.05,AVOID,PASS
Hunter Goodman,COL,NYM@COL,1B,0.92,0.49,0.7,2.11,2.0,0.353,-0.3256,-32.56,AVOID,PASS
Manny Machado,SD,SD@MIL,3B,1.13,0.49,0.45,2.07,2.0,0.342,-0.3463,-34.63,AVOID,PASS
Paul Goldschmidt,NYY,BOS@NYY,1B,1.05,0.59,0.4,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Junior Caminero,TB,MIA@TB,3B,0.94,0.55,0.55,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Christian Walker,HOU,HOU@CLE,1B,0.94,0.51,0.59,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Jackson Merrill,SD,SD@MIL,OF,1.1,0.39,0.53,2.02,2.0,0.329,-0.3721,-37.21,AVOID,PASS
Trent Grisham,NYY,BOS@NYY,RF,0.88,0.61,0.51,2.0,2.0,0.323,-0.3825,-38.25,AVOID,PASS
Tyler Soderstrom,ATH,BAL@ATH,1B,0.88,0.5,0.61,1.99,2.0,0.321,-0.3876,-38.76,AVOID,PASS
Jeremy Pena,HOU,HOU@CLE,SS,1.02,0.52,0.45,1.99,2.0,0.321,-0.3876,-38.76,AVOID,PASS
Jackson Holliday,BAL,BAL@ATH,SS,0.92,0.53,0.53,1.98,2.0,0.318,-0.3928,-39.28,AVOID,PASS
Christian Yelich,MIL,SD@MIL,LF,0.88,0.48,0.61,1.97,2.0,0.315,-0.398,-39.8,AVOID,PASS
Lourdes Gurriel,ARI,ARI@CIN,OF,0.95,0.44,0.56,1.95,2.0,0.31,-0.4083,-40.83,AVOID,PASS
Steven Kwan,CLE,HOU@CLE,LF,1.02,0.57,0.35,1.94,2.0,0.307,-0.4135,-41.35,AVOID,PASS
Ben Rice,NYY,BOS@NYY,1B,0.88,0.5,0.55,1.93,2.0,0.304,-0.4186,-41.86,AVOID,PASS
Jasrado Chisholm,NYY,BOS@NYY,2B,0.88,0.56,0.47,1.91,2.0,0.299,-0.4289,-42.89,AVOID,PASS
Isaac Paredes,HOU,HOU@CLE,3B,0.87,0.45,0.56,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
Colton Cowser,BAL,BAL@ATH,LF,0.84,0.53,0.51,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
Jordan Westburg,BAL,BAL@ATH,SS,0.91,0.51,0.46,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
J.P. Crawford,SEA,SEA@LAA,SS,0.94,0.54,0.39,1.87,2.0,0.288,-0.4496,-44.96,AVOID,PASS
