PLAYER,TEAM,GAME,K_PROJECTION,OPTIMAL_ALT_LINE,EDGE,EDGE_PERCENTAGE,CONFIDENCE,RECOMMENDATION
Chris Sale,ATL,ATL@MIL,7.5,6.0,1.5,25.0,Medium,Take Over 6.0 K's
Merrill Kelly,ARI,SEA@ARI,5.8,4.5,1.3,28.9,Medium,Take Over 4.5 K's
Eury Perez,MIA,MIA@PIT,5.8,4.5,1.3,28.9,Medium,Take Over 4.5 K's
Nick Pivetta,SD,LAD@SD,6.2,5.0,1.2,24.0,Medium,Take Over 5.0 K's
Jeffrey Springs,ATH,ATH@LAA,4.7,3.5,1.2,34.3,Medium,Take Over 3.5 K's
Zack Wheeler,PHI,CHC@PHI,7.1,6.0,1.1,18.3,Medium,Take Over 6.0 K's
Brayan Bello,BOS,TB@BOS,4.6,3.5,1.1,31.4,Medium,Take Over 3.5 K's
Yusei Kikuchi,LAA,ATH@LAA,5.6,4.5,1.1,24.4,Medium,Take Over 4.5 K's
Andre Pallante,STL,TOR@STL,4.0,3.0,1.0,33.3,Medium,Take Over 3.0 K's
Dustin May,LAD,LAD@SD,5.5,4.5,1.0,22.2,Medium,Take Over 4.5 K's
Matt Boyd,CHC,CHC@PHI,6.5,5.5,1.0,18.2,Medium,Take Over 5.5 K's
Aaron Civale,MIL,ATL@MIL,4.4,3.5,0.9,25.7,Low,Take Over 3.5 K's
Luis Ortiz,CLE,CIN@CLE,4.9,4.0,0.9,22.5,Low,Take Over 4.0 K's
Jose Berrios,TOR,TOR@STL,5.3,4.5,0.8,17.8,Low,Take Over 4.5 K's
Shane Baz,TB,TB@BOS,4.8,4.0,0.8,20.0,Low,Take Over 4.0 K's
Mike Burrows,PIT,MIA@PIT,4.8,4.0,0.8,20.0,Low,Take Over 4.0 K's
Emerson Hancock,SEA,SEA@ARI,3.7,3.0,0.7,23.3,Low,Take Over 3.0 K's
Wade Miley,CIN,CIN@CLE,3.1,2.5,0.6,24.0,Low,Take Over 2.5 K's
