PLAYER,POS,TEAM,GAME,INN,K,HA,ER,BBI,RBI,R,H
Juan Soto,LF,NYM,NYM@COL,-,-,-,-,-,0.78,0.92,1.18
Francisco Lindor,SS,NYM,NYM@COL,-,-,-,-,-,0.82,0.92,1.32
Ketel Marte,2B,ARI,ARI@CIN,-,-,-,-,-,0.75,0.85,1.13
Pete Alonso,1B,NYM,NYM@COL,-,-,-,-,-,1.02,0.77,1.19
Corbin Carroll,LF,ARI,ARI@CIN,-,-,-,-,-,0.65,0.87,1.07
Cal Raleigh,C,SEA,SEA@LAA,-,-,-,-,-,0.81,0.71,0.92
Jose Ramirez,3B,CLE,HOU@CLE,-,-,-,-,-,0.65,0.7,1.04
Elly De La Cruz,3B,CIN,ARI@CIN,-,-,-,-,-,0.67,0.77,1.1
Gunnar Henderson,SS,BAL,BAL@ATH,-,-,-,-,-,0.52,0.75,1.16
Cody Bellinger,1B,NYY,BOS@NYY,-,-,-,-,-,0.82,0.66,1.21
Josh Naylor,1B,ARI,ARI@CIN,-,-,-,-,-,0.75,0.53,1.14
Brandon Nimmo,RF,NYM,NYM@COL,-,-,-,-,-,0.67,0.69,0.96
Julio Rodriguez,RF,SEA,SEA@LAA,-,-,-,-,-,0.59,0.68,1.14
Yandy Diaz,1B,TB,MIA@TB,-,-,-,-,-,0.61,0.5,1.03
Manny Machado,3B,SD,SD@MIL,-,-,-,-,-,0.45,0.49,1.13
Rafael Devers,3B,BOS,BOS@NYY,-,-,-,-,-,0.64,0.62,0.96
Lawrence Butler,LF,ATH,BAL@ATH,-,-,-,-,-,0.51,0.64,1.01
Brent Rooker,OF,ATH,BAL@ATH,-,-,-,-,-,0.63,0.57,1.03
Zach Neto,SS,LAA,SEA@LAA,-,-,-,-,-,0.55,0.62,1
Eugenio Suarez,SS,ARI,ARI@CIN,-,-,-,-,-,0.68,0.51,0.93
Jacob Wilson,SS,ATH,BAL@ATH,-,-,-,-,-,0.54,0.54,1.2
Jackson Merrill,OF,SD,SD@MIL,-,-,-,-,-,0.53,0.39,1.1
Paul Goldschmidt,1B,NYY,BOS@NYY,-,-,-,-,-,0.4,0.59,1.05
Tyler Soderstrom,1B,ATH,BAL@ATH,-,-,-,-,-,0.61,0.5,0.88
Isaac Paredes,3B,HOU,HOU@CLE,-,-,-,-,-,0.56,0.45,0.87
Junior Caminero,3B,TB,MIA@TB,-,-,-,-,-,0.55,0.55,0.94
Randy Arozarena,CF,SEA,SEA@LAA,-,-,-,-,-,0.5,0.52,0.84
Jasrado Chisholm,2B,NYY,BOS@NYY,-,-,-,-,-,0.47,0.56,0.88
Steven Kwan,LF,CLE,HOU@CLE,-,-,-,-,-,0.35,0.57,1.02
Jeremy Pena,SS,HOU,HOU@CLE,-,-,-,-,-,0.45,0.52,1.02
Christian Walker,1B,HOU,HOU@CLE,-,-,-,-,-,0.59,0.51,0.94
Jarren Duran,CF,BOS,BOS@NYY,-,-,-,-,-,0.56,0.58,1.11
Christian Yelich,LF,MIL,SD@MIL,-,-,-,-,-,0.61,0.48,0.88
Lourdes Gurriel,OF,ARI,ARI@CIN,-,-,-,-,-,0.56,0.44,0.95
Hunter Goodman,1B,COL,NYM@COL,-,-,-,-,-,0.7,0.49,0.92
Mike Trout,CF,LAA,SEA@LAA,-,-,-,-,-,0.54,0.48,0.75
Ben Rice,1B,NYY,BOS@NYY,-,-,-,-,-,0.55,0.5,0.88
J.P. Crawford,SS,SEA,SEA@LAA,-,-,-,-,-,0.39,0.54,0.94
Ryan O`Hearn,1B,BAL,BAL@ATH,-,-,-,-,-,0.46,0.45,0.89
Trent Grisham,RF,NYY,BOS@NYY,-,-,-,-,-,0.51,0.61,0.88
Colton Cowser,LF,BAL,BAL@ATH,-,-,-,-,-,0.51,0.53,0.84
Jackson Holliday,SS,BAL,BAL@ATH,-,-,-,-,-,0.53,0.53,0.92
Jeff McNeil,2B,NYM,NYM@COL,-,-,-,-,-,0.42,0.45,0.86
Fernando Tatis Jr.,OF,SD,SD@MIL,-,-,-,-,-,0.35,0.46,0.98
Jordan Westburg,SS,BAL,BAL@ATH,-,-,-,-,-,0.46,0.51,0.91
Geraldo Perdomo,SS,ARI,ARI@CIN,-,-,-,-,-,0.41,0.46,0.81
Ryan McMahon,2B,COL,NYM@COL,-,-,-,-,-,0.47,0.53,0.81
Adley Rutschman,C,BAL,BAL@ATH,-,-,-,-,-,0.42,0.49,0.85
Jose Altuve,2B,HOU,HOU@CLE,-,-,-,-,-,0.39,0.5,0.98
Jonathan Aranda,2B,TB,MIA@TB,-,-,-,-,-,0.52,0.42,0.87
Starling Marte,CF,NYM,NYM@COL,-,-,-,-,-,0.54,0.41,0.83
T.J. Friedl,CF,CIN,ARI@CIN,-,-,-,-,-,0.42,0.48,0.82
Jackson Chourio,LF,MIL,SD@MIL,-,-,-,-,-,0.5,0.48,0.89
Josh Lowe,CF,TB,MIA@TB,-,-,-,-,-,0.43,0.45,0.84
Jorge Polanco,2B,SEA,SEA@LAA,-,-,-,-,-,0.55,0.37,0.75
Noelvi Marte,3B,CIN,ARI@CIN,-,-,-,-,-,0.55,0.39,0.82
Spencer Steer,OF,CIN,ARI@CIN,-,-,-,-,-,0.46,0.44,0.8
Trevor Story,SS,BOS,BOS@NYY,-,-,-,-,-,0.49,0.48,0.88
Gavin Lux,2B,CIN,ARI@CIN,-,-,-,-,-,0.44,0.43,0.98
Cole Young,2B,SEA,SEA@LAA,-,-,-,-,-,0.44,0.47,0.8
